# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data
0,HS,65,0:04.912.886,9.933 us,512 B,,11,02,OUT txn,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 6A F7 F7 F7 F7 F7 F7 F3 FB F2 FA FA F1 F1 F9 F9 FC FD FC FB FA F9 FD FC FE FA FE FB F9 F9 FC FD FC F8 FC F8 FC FA FA FA FA BC 06 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,HS,66,0:04.912.886,66 ns,3 B,,11,02,   OUT packet,E1 0B 09
1,HS,67,0:04.912.886,9.216 us,515 B,,11,02,   DATA0 packet,C3 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 6A F7 F7 F7 F7 F7 F7 F3 FB F2 FA FA F1 F1 F9 F9 FC FD FC FB FA F9 FD FC FE FA FE FB F9 F9 FC FD FC F8 FC F8 FC FA FA FA FA BC 06 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BC BF
1,HS,68,0:04.912.896,50 ns,1 B,,11,02,   ACK packet,D2
0,HS,69,0:04.912.896,9.333 us,512 B,,11,02,OUT txn,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 40 40 40 40 40 40 40 40 00 00 00 00 40 40 40 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 20 20 20 20 20 20 20 20 20 20 20 20 24 24 24 24 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 21 21 21 21 00 00 00 00 00 00 00 00 24 24 24 24 11 11 11 11 00 00 00 00 41 41 41 41 40 40 40 40 01 01 01 01 44 44 44 44 04 04 04 04 04 04 04 04 24 24 24 24 04 04 04 04 05 05 05 05 01 01 01 01 01 01 01 01 01 01 01 01 04 04 04 04 04 04 04 04 00 00 00 00 24 24 24 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 20 20 20 20 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 01 01 01 01 20 20 20 20 00 00 00 00 40 40 40 40 10 10 10 10 14 14 14 14 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 24 24 24 24 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 02 02 02 02 02 02 02 02 02 02 02 02 06 06 06 06 04 04 04 04 01 01 01 01 25 25 25 25 20 20 20 20 42 42 42 42 22 22 22 22 02 02 02 02 02 02 02 02 02 02 02 02 10 10 10 10 30 30 30 30 00 00
1,HS,70,0:04.912.896,66 ns,3 B,,11,02,   OUT packet,E1 0B 09
1,HS,71,0:04.912.897,8.600 us,515 B,,11,02,   DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 40 40 40 40 40 40 40 40 00 00 00 00 40 40 40 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 00 00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 20 20 20 20 20 20 20 20 20 20 20 20 24 24 24 24 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 21 21 21 21 00 00 00 00 00 00 00 00 24 24 24 24 11 11 11 11 00 00 00 00 41 41 41 41 40 40 40 40 01 01 01 01 44 44 44 44 04 04 04 04 04 04 04 04 24 24 24 24 04 04 04 04 05 05 05 05 01 01 01 01 01 01 01 01 01 01 01 01 04 04 04 04 04 04 04 04 00 00 00 00 24 24 24 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 20 20 20 20 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 01 01 01 01 20 20 20 20 00 00 00 00 40 40 40 40 10 10 10 10 14 14 14 14 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 24 24 24 24 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 00 00 00 00 04 04 04 04 00 00 00 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 02 02 02 02 02 02 02 02 02 02 02 02 06 06 06 06 04 04 04 04 01 01 01 01 25 25 25 25 20 20 20 20 42 42 42 42 22 22 22 22 02 02 02 02 02 02 02 02 02 02 02 02 10 10 10 10 30 30 30 30 00 00 C4 B6
1,HS,72,0:04.912.906,50 ns,1 B,,11,02,   ACK packet,D2
0,HS,73,0:04.912.906,9.333 us,512 B,,11,02,OUT txn,00 00 00 00 00 00 22 22 22 22 22 22 22 22 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 02 02 02 02 FE FE FE FE 3B 3B 3B 3B 00 00 00 00 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 20 20 20 20 00 00 00 00 02 02 02 02 02 02 02 02 06 06 06 06 06 06 06 06 02 02 02 02 04 04 04 04 60 60 60 60 60 60 60 60 01 01 01 01 43 43 43 43 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 02 00 00 00 00 20 20 20 20 30 30 30 30 30 30 30 30 02 02 02 02 22 22 22 22 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 20 20 20 00 00 00 00 02 02 02 02 24 24 24 24 22 22 22 22 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 06 06 06 06 22 22 22 22 00 00 00 00 60 60 60 60 60 60 60 60 00 00 00 00 44 44 44 44 04 04 04 04 04 04 04 04 07 07 07 07 27 27 27 27 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04 04 04 04 04 10 10 10 10 14 14 14 14 00 00 00 00 12 12 12 12 02 02 02 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 02 02 02 02 00 00 00 00 02 02 02 02 02 02 02 02 00 00 00 00 00 00 00 00 84 84 84 84 84 84 84 84 00 00 00 00 06 06 06 06 40 40 40 40 C0 C0 C0 C0 80 80 80 80 C0 C0 C0 C0 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 82 82 82 82 80 80 80 80 A0 A0 A0 A0 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 82 82 82 82 30 30 30 30 30 30 30 30 20 20 20 20 10 10 10 10 04 04 04 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 02 02 02 06 06 06 06 00 00
1,HS,74,0:04.912.906,66 ns,3 B,,11,02,   OUT packet,E1 0B 09
